CNDETH, 0.00006903, 0.00006861
CNDBNB, 0.00057700, 0.00057300
LTCETH, 0.50463000, 0.50403000
LTCBNB, 4.22000000, 4.21000000
TNBBTC, 0.00000062, 0.00000061
TNBETH, 0.00002059, 0.00002047
GTOBTC, 0.00000343, 0.00000342
GTOETH, 0.00011447, 0.00011440
GTOBNB, 0.00096000, 0.00095000
ICXBTC, 0.00004090, 0.00004080
ICXETH, 0.00136500, 0.00136400
ICXBNB, 0.01142000, 0.01139000
OSTBTC, 0.00000314, 0.00000312
OSTETH, 0.00010485, 0.00010409
OSTBNB, 0.00087900, 0.00086600
ELFBTC, 0.00002368, 0.00002362
ELFETH, 0.00079359, 0.00078811
BRDBTC, 0.00004900, 0.00004890
BRDETH, 0.00164290, 0.00163470
BRDBNB, 0.01378000, 0.01361000
MCOBNB, 0.19385000, 0.19240000
EDOBTC, 0.00010660, 0.00010600
EDOETH, 0.00359000, 0.00354600
NAVBTC, 0.00002610, 0.00002590
NAVETH, 0.00087300, 0.00086300
NAVBNB, 0.00731000, 0.00724000
LUNBTC, 0.00026910, 0.00026840
LUNETH, 0.00900500, 0.00896100
RLCBTC, 0.00004450, 0.00004440
RLCETH, 0.00149000, 0.00148500
RLCBNB, 0.01245000, 0.01238000
INSBTC, 0.00004280, 0.00004260
INSETH, 0.00143200, 0.00142400
VIABTC, 0.00006050, 0.00006040
VIAETH, 0.00202400, 0.00201200
VIABNB, 0.01701000, 0.01681000
BLZBTC, 0.00000684, 0.00000681
BLZETH, 0.00022840, 0.00022800
BLZBNB, 0.00193000, 0.00190000
POABTC, 0.00000407, 0.00000405
POAETH, 0.00013600, 0.00013541
POABNB, 0.00115000, 0.00113000
ZILBTC, 0.00000284, 0.00000283
ZILETH, 0.00009463, 0.00009449
ZILBNB, 0.00079200, 0.00079000
ONTBTC, 0.00016080, 0.00016060
ONTETH, 0.00537500, 0.00536500
ONTBNB, 0.04493000, 0.04486000
XEMBTC, 0.00000971, 0.00000970
XEMETH, 0.00032483, 0.00032374
XEMBNB, 0.00272000, 0.00271000
WANBTC, 0.00004820, 0.00004810
WANETH, 0.00161300, 0.00160500
WANBNB, 0.01351000, 0.01336000
WPRBTC, 0.00000169, 0.00000168
WPRETH, 0.00005654, 0.00005577
QLCBTC, 0.00000418, 0.00000415
QLCETH, 0.00013998, 0.00013738
SYSBTC, 0.00000672, 0.00000671
SYSETH, 0.00022476, 0.00022332
SYSBNB, 0.00189000, 0.00187000
QLCBNB, 0.00116700, 0.00115600
GRSBTC, 0.00004787, 0.00004784
GRSETH, 0.00160214, 0.00159170
ADABNB, 0.00286000, 0.00284000
GNTBTC, 0.00001101, 0.00001097
GNTETH, 0.00036989, 0.00036622
GNTBNB, 0.00308000, 0.00305000
REPBTC, 0.00207100, 0.00206500
REPETH, 0.06943000, 0.06901000
REPBNB, 0.58000000, 0.57600000
ZENBTC, 0.00114700, 0.00114300
ZENETH, 0.03837000, 0.03808000
ZENBNB, 0.32100000, 0.31800000
SKYBTC, 0.00017900, 0.00017800
SKYETH, 0.00600000, 0.00597000
SKYBNB, 0.05000000, 0.04900000
EOSBNB, 0.21770000, 0.21750000
CVCBTC, 0.00000954, 0.00000951
CVCETH, 0.00031996, 0.00031820
CVCBNB, 0.00269000, 0.00265000
XRPBNB, 0.01340000, 0.01337000
QKCBTC, 0.00000261, 0.00000260
QKCETH, 0.00008730, 0.00008683
AGIBTC, 0.00000508, 0.00000506
AGIETH, 0.00016984, 0.00016899
AGIBNB, 0.00142000, 0.00141000
NXSBTC, 0.00003870, 0.00003860
NXSETH, 0.00129300, 0.00128700
NXSBNB, 0.01090000, 0.01070000
ENJBNB, 0.00459800, 0.00457200
TRXBNB, 0.00102000, 0.00101800
ETCBNB, 0.27120000, 0.27020000
KEYBTC, 0.00000038, 0.00000037
KEYETH, 0.00001264, 0.00001260
NASBTC, 0.00017490, 0.00017420
NASETH, 0.00586200, 0.00582200
NASBNB, 0.04928000, 0.04865000
MFTBTC, 0.00000038, 0.00000037
MFTETH, 0.00001240, 0.00001236
MFTBNB, 0.00010400, 0.00010300
HOTBTC, 0.00000019, 0.00000018
HOTETH, 0.00000625, 0.00000624
VETBTC, 0.00000081, 0.00000080
VETETH, 0.00002704, 0.00002694
VETBNB, 0.00022570, 0.00022500
PAXBTC, 0.00000000, 0.00000000
PAXBNB, 0.00000000, 0.00000000
PAXETH, 0.00000000, 0.00000000
RVNBTC, 0.00000697, 0.00000696
RVNBNB, 0.00194600, 0.00194000
DCRBTC, 0.00305500, 0.00305200
DCRBNB, 0.86000000, 0.85200000
XRPPAX, 0.43359000, 0.43274000
EOSPAX, 7.07660000, 7.05820000
XLMPAX, 0.13070000, 0.13029000
RENBTC, 0.00000573, 0.00000572
RENBNB, 0.00161000, 0.00159000
TRXXRP, 0.07634000, 0.07605000
XZCXRP, 26.65300000, 26.50100000
LTCPAX, 136.92000000, 136.67000000
TRXPAX, 0.03313000, 0.03297000
BTTBTC, 0.00000016, 0.00000015
BTTBNB, 0.00004255, 0.00004249
BTTPAX, 0.00139160, 0.00137590
ONGBNB, 0.01332000, 0.01317000
ONGBTC, 0.00004738, 0.00004722
HOTBNB, 0.00005220, 0.00005206
ZRXBNB, 0.01082000, 0.01078000
FETBNB, 0.00618000, 0.00616000
FETBTC, 0.00002210, 0.00002206
XMRBNB, 2.98100000, 2.97000000
ZECBNB, 2.92400000, 2.90800000
ZECPAX, 94.89000000, 94.19000000
ADAPAX, 0.09274000, 0.09219000
NEOPAX, 14.18100000, 14.07600000
OMGBNB, 0.06593000, 0.06558000
ETCPAX, 8.84600000, 8.75300000
BATPAX, 0.33740000, 0.33440000
PHBBNB, 0.00053200, 0.00053000
PHBBTC, 0.00000190, 0.00000189
PHBPAX, 0.01732000, 0.01707000
ONEBNB, 0.00065900, 0.00065800
ONEBTC, 0.00000236, 0.00000235
ONEPAX, 0.02171000, 0.02125000
FTMBNB, 0.00084300, 0.00084000
FTMBTC, 0.00000302, 0.00000301
FTMPAX, 0.02790000, 0.02708000
